表層形	品詞	品詞細分類1	品詞細分類2	品詞細分類3	活用型	活用形	基本形	読み	発音
ワイシャツ	名詞	一般	*	*	*	*	ワイシャツ	ワイシャツ	ワイシャツ
の	助詞	連体化	*	*	*	*	の	ノ	ノ
下	名詞	一般	*	*	*	*	下	シタ	シタ
から	助詞	格助詞	一般	*	*	*	から	カラ	カラ
大騒ぎ	名詞	サ変接続	*	*	*	*	大騒ぎ	オオサワギ	オーサワギ
する	動詞	自立	*	*	サ変・スル	基本形	する	スル	スル
ランキング	名詞	一般	*	*	*	*	ランキング	ランキング	ランキング
記号	空白	*	*	*	*	*		
トップ	名詞	一般	*	*	*	*	トップ	トップ	トップ
10	名詞	数	*	*	*	*	*		
記号	空白	*	*	*	*	*		
1	名詞	数	*	*	*	*	*		
位	名詞	接尾	助数詞	*	*	*	位	イ	イ
・	記号	一般	*	*	*	*	・	・	・
職場	名詞	一般	*	*	*	*	職場	ショクバ	ショクバ
で	助詞	格助詞	一般	*	*	*	で	デ	デ
、	記号	読点	*	*	*	*	、	、	、
フィギュア	名詞	一般	*	*	*	*	フィギュア	フィギュア	フィギュア
に	助詞	格助詞	一般	*	*	*	に	ニ	ニ
偉	形容詞	自立	*	*	形容詞・アウオ段	ガル接続	偉い	エラ	エラ
そう	名詞	接尾	助動詞語幹	*	*	*	そう	ソウ	ソー
に	助詞	格助詞	一般	*	*	*	に	ニ	ニ
する	動詞	自立	*	*	サ変・スル	基本形	する	スル	スル
(	名詞	サ変接続	*	*	*	*	*		
携帯	名詞	サ変接続	*	*	*	*	携帯	ケイタイ	ケイタイ
ゲーム	名詞	一般	*	*	*	*	ゲーム	ゲーム	ゲーム
が	助詞	格助詞	一般	*	*	*	が	ガ	ガ
でかい	形容詞	自立	*	*	形容詞・アウオ段	基本形	でかい	デカイ	デカイ
)	名詞	サ変接続	*	*	*	*	*		
記号	空白	*	*	*	*	*		
2	名詞	数	*	*	*	*	*		
位	名詞	接尾	助数詞	*	*	*	位	イ	イ
・	記号	一般	*	*	*	*	・	・	・
下着	名詞	一般	*	*	*	*	下着	シタギ	シタギ
代わり	名詞	一般	*	*	*	*	代わり	カワリ	カワリ
の	助詞	連体化	*	*	*	*	の	ノ	ノ
10	名詞	数	*	*	*	*	*		
円	名詞	接尾	助数詞	*	*	*	円	エン	エン
、	記号	読点	*	*	*	*	、	、	、
Tシャツ	名詞	一般	*	*	*	*	Tシャツ	ティーシャツ	ティーシャツ
が	助詞	格助詞	一般	*	*	*	が	ガ	ガ
お	接頭詞	名詞接続	*	*	*	*	お	オ	オ
しぼり	動詞	自立	*	*	五段・ラ行	連用形	しぼる	シボリ	シボリ
記号	空白	*	*	*	*	*		
3	名詞	数	*	*	*	*	*		
位	名詞	接尾	助数詞	*	*	*	位	イ	イ
・	記号	一般	*	*	*	*	・	・	・
電車	名詞	一般	*	*	*	*	電車	デンシャ	デンシャ
の	助詞	連体化	*	*	*	*	の	ノ	ノ
中	名詞	非自立	副詞可能	*	*	*	中	ナカ	ナカ
で	助詞	格助詞	一般	*	*	*	で	デ	デ
蛾	名詞	一般	*	*	*	*	蛾	ガ	ガ
や	助詞	並立助詞	*	*	*	*	や	ヤ	ヤ
ゴキブリ	名詞	一般	*	*	*	*	ゴキブリ	ゴキブリ	ゴキブリ
が	助詞	格助詞	一般	*	*	*	が	ガ	ガ
柄	名詞	一般	*	*	*	*	柄	エ	エ
モノ	名詞	一般	*	*	*	*	モノ	モノ	モノ
スーツ	名詞	一般	*	*	*	*	スーツ	スーツ	スーツ
姿	名詞	一般	*	*	*	*	姿	スガタ	スガタ
が	助詞	格助詞	一般	*	*	*	が	ガ	ガ
決まっ	動詞	自立	*	*	五段・ラ行	連用タ接続	決まる	キマッ	キマッ
て	助詞	接続助詞	*	*	*	*	て	テ	テ
いる	動詞	非自立	*	*	一段	基本形	いる	イル	イル
のに	助詞	接続助詞	*	*	*	*	のに	ノニ	ノニ
記号	空白	*	*	*	*	*		
4	名詞	数	*	*	*	*	*		
位	名詞	接尾	助数詞	*	*	*	位	イ	イ
・	記号	一般	*	*	*	*	・	・	・
歯	名詞	一般	*	*	*	*	歯	ハ	ハ
で	助詞	格助詞	一般	*	*	*	で	デ	デ
思いっきり	副詞	一般	*	*	*	*	思いっきり	オモイッキリ	オモイッキリ
